index,address_original,address,price,type,pType,pWidth,pLength,pArea,pLandArea,pNumberOfFloors,pNumberOfBathrooms,pNumberOfBedrooms,pCertificateType,pFurnitureStatus,description,_createdAt
16,"184/4F Đường Lê Văn Sỹ, 10, Phú Nhuận, Hồ Chí Minh","184/4F Đường Lê Văn Sỹ, Phường 10, Phú Nhuận, Thành phố Hồ Chí Minh",12860000000,sale,other,4,14.5,213.24,58.2,5,4,5,certificate,other,"Nhà bán số 184/4F Lê Văn Sỹ phường 10 quận Phú Nhuận. Diện tích 4x 14,4m. Đúc kiên cố 1 trệt 1 lửng 2 lầu sân thượng. Nhà có 5 phòng ngủ, 4wc. Sân thượng phơi đồ. Sân để xe, phòng ăn. Sàn lót gỗ, nội thất toto chính hãng. Khu vực siêu vip, cạnh trường Việt -Úc, Hàn Thuyên. Trung tâm đi lại thuận tiện. Dân trí cao. Hẻm vào nhà 10m. Xe hơi tới sát cửa. Nhà đẹp, mới sửa lại toàn bộ. Dọn đồ vô ở liền. Sổ hồng chính chủ, hoàn công đầy đủ. Giá 12 tỷ 860 triệu.",2025-10-24T03:13:39.943Z
17,"574/75A Sinco, Bình Trị Đông B, Bình Tân, Hồ Chí Minh","574/75A Sinco, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh",8500000000,sale,other,4,21,92,84,2,2,2,certificate,partially_furnished,"Chính chủ bán nhà mặt tiền 574/75A Sinco, Bình Trị Đông B, Bình Tân. Nhà 2 tầng, gồm 2 phòng ngủ và 2 phòng tắm, mới sửa sang với nhiều ánh sáng tự nhiên, không gian thoáng đãng, tường xây chắc chắn và cách âm tốt. Khu dân cư an ninh, gần chợ và đường lớn, rất thuận tiện cho sinh hoạt. Diện tích 4 x 21m Giá từ 8.5 tỷ TL Cần bán nhà mới xây Nhà Ngay chợ",2025-10-24T03:05:22.799Z
18,"120/13/9 đường số 4, 16, Gò Vấp, Hồ Chí Minh","120/13/9 đường số 4, Phường 16, Gò Vấp, Thành phố Hồ Chí Minh",6950000000,sale,other,3.05,13.36,102.1,41.6,4,5,5,certificate,other,"Địa chỉ: 120/13/9 Đường Số 4, Phường 16, Quận Gò Vấp, TP.HCM Giá bán: 6.950.000.000 VNĐ (Còn thương lượng nhẹ) Diện tích đất: 41,6m² Diện tích sử dụng: 102,1m² Kết cấu: 1 trệt – 1 lửng – 3 lầu, nhà xây kiên cố, thiết kế hiện đại. Nhà đang cho thuê thu nhập 30.000.000đ/tháng. Nằm trong khu dân cư an ninh, dân trí cao. Gần chợ, trường học, siêu thị, khu trung tâm Gò Vấp. Đường trước nhà sạch sẽ, hẻm xi măng thông thoáng.",2025-10-24T03:01:01.703Z
19,"47/6/1 đường số 15, Bình Hưng Hòa, Bình Tân, Hồ Chí Minh","47/6/1 đường số 15, Bình Hưng Hòa, Bình Tân, Thành phố Hồ Chí Minh",3350000000,sale,other,4,8,47.2,32,2,2,2,certificate,other,"GIÁ: 3tỷ350 TL Địa chỉ : 47/6/1 dg số 15 bình hưng hoà bình tân KHOÁ SỐ COI TỰ DO 24/24 CÁCH AEON TÂN PHÚ 500M TRƯỜNG TRÍ ĐỨC , RA TRƯỜNG ĐẠI HỌC CÔNG THƯƠNG 2 PHÚT XE MÁY 4m x8 đúc 1 trệt 1 lầu 2pn 2wc",2025-10-24T02:50:34.212Z
20,"150/32 Đường Xô Viết Nghệ Tĩnh, 19, Bình Thạnh, Hồ Chí Minh","150/32 Đường Xô Viết Nghệ Tĩnh, Phường 19, Bình Thạnh, Thành phố Hồ Chí Minh",17800000000,sale,other,6.15,14.81,292.1,77.3,6,15,15,certificate,other,"CHDV XÔ VIẾT NGHỆ TĨNH PHƯỜNG 19 QUẬN BÌNH THẠNH DT: 6m x 14.81m DTCN: 77m2 KC: Trệt Lững 4 Lầu Sân Thượng TỔNG 15 CHDV CÓ GÁC LỮNG FULL NỘI THẤT HĐ KHOÁN 90tr/tháng - Tư khai thác khi full khoảng 120tr Chỉ 30 bước ra ngay đường XVNT, trung tâm sầm uất, đầy đủ tiện nghi. Gần các trường ĐH lớn như Hutech 1&2, Kinh tế, Tài chính, GTVT, Hồng bàng... cách ngã tư Hàng xanh 400m. Tiện ích : Camera, Bảo vệ, PCCC đầy đủ. Giá : 17,8ty TL",2025-10-24T02:34:39.082Z
21,"Căn 13.16 Chung cư Thái An 2, Đông Hưng Thuận, 12, Hồ Chí Minh","Căn 13.16 Chung cư Thái An 2, Đông Hưng Thuận, Quận 12, Thành phố Hồ Chí Minh",3300000000,sale,apartment,0,0,0,0,1,2,2,certificate,other,"Cần bán căn hộ chung cư Thái An 2, Phường Đông Hưng Thuận, Quận 12 Diện tích sàn: 73.13m2 Căn hộ gồm: 2 phòng ngủ, 2 phòng vệ sinh, phòng khách, bếp, lô gia hướng nội khu, thoáng mát và yên tĩnh Tiện ích nội khu đa dạng: trường mầm non, trường tiểu học & THCS, trung tâm phát triển kỹ năng, hồ bơi, công viên, cửa hàng tiện lợi, nhà hàng, quán ăn, Winmart, Bách Hóa Xanh, Coop Food... Hiện căn hộ đang cho thuê với giá 8,5 triệu/tháng Giá bán: 3.3 tỷ TL",2025-10-24T02:26:50.246Z
22,"42/2 Duy Tân, 5, Phú Nhuận, Hồ Chí Minh","42/2 Duy Tân, Phường 5, Phú Nhuận, Thành phố Hồ Chí Minh",6600000000,sale,other,3.25,5,0,27.9,3,3,4,certificate,other,"Bán nhà : 42/2 Duy Tân, Phường Cầu Kiệu, Quận Phú Nhuận Diện tích: 3.25m² x 5m²( Nở Hậu 8.15m²), 5 phòng ngủ – 3 toilet Ban công cây xanh, giếng trời thoáng mát, cửa kính lớn đón nắng tự nhiên Nhà thiết kế cực hiện đại, nội thất cao cấp, tone trắng – vàng sang trọng. Hẻm sạch đẹp, chỉ vài bước ra mặt tiền. Vị trí trung tâm: đi Q.1, Q.3, Bình Thạnh cực nhanh. Sổ hồng riêng - Giá: 6.6 tỷ",2025-10-24T02:21:42.308Z
23,"688/93/42 tân kỳ tân quý, Bình Hưng Hòa, Bình Tân, Hồ Chí Minh","688/93/42 tân kỳ tân quý, Bình Hưng Hòa, Bình Tân, Thành phố Hồ Chí Minh",4850000000,sale,other,3.91,11.08,78.8,43.7,2,2,2,certificate,other,"Nhà hẻm: 688/93/42 Tân Kỳ Tân Quý Dt : 3.91x11, 1 trệt 1 lầu đúc thật 2 phòng ngủ 2 wc nhà còn cứng cáp vị trí : cách eon tân phú 5p , gần nhà thờ bình thuận , hẽm thông kinh doanh được , cách mt kênh nước đen 30m giá 4ty850 bớt lộc",2025-10-24T02:12:19.389Z
24,"521/62E Đường Trường Chinh, 14, Tân Bình, Hồ Chí Minh","521/62E Đường Trường Chinh, Phường 14, Tân Bình, Thành phố Hồ Chí Minh",3880000000,sale,other,4.6,4.72,65.1,22,3,3,2,certificate,other,"Bán nhà 521/62E Trường Chinh, Phường Tân Bình ( P.14 cũ ), Tân Bình - KC: 3 tấm đúc BTCT cứng cáp: 1 trệt 2 lầu sân thượng mái đúc. Gồm : 2PN lớn 3 toilet bancon mỗi tầng. - Nhà mới chỉ việc dọn vào ở, có sẵn máy năng lượng mặt trời. - Hẻm an ninh khu nhà lầu lịch sự, chỉ 3 bước chân là ra ngay chợ . - Vị trí nhà ngay trong chợ Bà Quẹo, thông ra hẻm 1006 Âu Cơ, gần chi cục thuế Tân Phú, giáp Cộng Hoà khu Bàu Cát. - Giá : 3ty880 TL",2025-10-23T10:54:55.545Z
25,"377/17 Đường Nguyễn Tri Phương, 8, 10, Hồ Chí Minh","377/17 Đường Nguyễn Tri Phương, Phường 8, Quận 10, Thành phố Hồ Chí Minh",7000000000,sale,other,2.72,13.41,79.5,29.4,3,3,3,certificate,other,"Giá bán 7 tỷ bớt nhẹ ! Địa chỉ: 377/17 Nguyễn Tri Phương, P.5, Q.10 Nhà 3 lầu, bê tông cốt thép, chắc chắn,3 PN ,3wc. hướng tây bắc Hẻm xe hơi rộng quay đầu , thông tứ tung, cách mặt tiền chỉ 20m Khu dân trí cao, cao cấp, an ninh, tiện ở và đầu tư Hiện đang cho thuê nail Spa – Khai thác ngay lợi nhuận",2025-10-23T10:13:19.837Z
26,"247/6 Đường Độc Lập, Tân Quý, Tân Phú, Hồ Chí Minh","247/6 Đường Độc Lập, Tân Quý, Tân Phú, Thành phố Hồ Chí Minh",11600000000,sale,other,4,30,0,120,4,10,10,certificate,other,CĂN HỘ DỊCH VỤ 30P CHO THUÊ 70tr/ tháng Bán CHDV 247/6 Độc Lập THU NHẬP KHỦNG 70tr/ tháng DT: 4 x 30 CN 120m ~ 95tr/m Kết cấu : 1 trệt - 3 lầu Hẻm 8m thông Có giấy phép kinh doanh nhà trọ - PCCC đầy đủ ... Bao sang tên cập nhật - chưa hoàn công ------------ Giá: 11.6 tỷ thương lượng,2025-10-23T08:20:32.254Z
27,"100/5 đường số 18B, Bình Hưng Hoà A, Bình Tân, Hồ Chí Minh","100/5 đường số 18B, Bình Hưng Hoà A, Bình Tân, Thành phố Hồ Chí Minh",7100000000,sale,other,5,15,225.63,75,4,5,5,certificate,other,"Bán nhà tại 100/5 Đường 18B, Phường Bình Hưng Hòa A, quận Bình Tân Diện tích 75m2 vuông vức Nhà đã có sổ hồng Kết cấu: Trệt + 2 lầu + Sân thượng, 5 phòng ngủ, 5 vệ sinh Giá bán: 7,1 tỷ TL",2025-10-23T08:05:36.123Z
28,"55 Nguyễn Trọng Tuyển, 15, Phú Nhuận, Hồ Chí Minh","55 Nguyễn Trọng Tuyển, Phường 15, Phú Nhuận, Thành phố Hồ Chí Minh",6000000000,sale,other,2.55,9.35,43.5,24.3,2,2,2,certificate,other,"Siêu phẩm mặt tiền kinh doanh Bán nhà mặt tiền: 55 nguyễn trọng tuyển, P 15, Q.Phú Nhuận, khu kd sầm uất . Dt 2.7x10 1 trêt 1 lầu 2pn 2wc .tặng full nội thất, xung quoanh đầy đủ tiện ích, thuận tiện đi các quận trung tâm...... Giá 6Ty",2025-10-23T07:25:42.639Z
29,"53/17/2 đường Số 7, 3, Gò Vấp, Hồ Chí Minh","53/17/2 đường Số 7, Phường 3, Gò Vấp, Thành phố Hồ Chí Minh",41.500.000.000.000.000,sale,other,3.57,8.28,0,29,2,2,2,certificate,other,"NHÀ MỚI Ở LIỀN - VUÔNG ĐẸP Địa chỉ nhà: 53/17/2 Đường số 7, Phường 3, Gò Vấp - Diện tích 3,57x8m. Diện tích sử dụng 60m2, có ban công - Kết cấu: 1 trệt 1 lầu đúc bê tông. Gồm 2 phòng ngủ, 2 toilet - Pháp lý sổ hồng riêng - hẻm thông, sạch sẽ, an ninh Giá bán 4 tỷ 150 ( bớt lộc)",2025-10-23T07:14:54.800Z
30,"189/2c Đường Hoàng Hoa Thám, 5, Bình Thạnh, Hồ Chí Minh","189/2c Đường Hoàng Hoa Thám, Phường 5, Bình Thạnh, Thành phố Hồ Chí Minh",4680000000,sale,other,5.42,5.4,0,24.8,2,2,2,certificate,other,"- Bán nhà : HXH 189/2C Chợ Hoàng Hoa Thám ,Phường 6, Q, Bình Thanh - Diện tích : 5 5m (dtcn :24.8m2) - Kết Cấu : Trệt ,Lầu gồm 2pn,2wc - Vị Trí : HXH Buôn Bán kinh doanh đa ngành ,Khu chợ HoànG Hoa Thám sầm uất ko thiếu thứ gì , Giao lộ tiếp Giáp TQĐ, NVĐ, LQĐ, PĐL, Phú nhuận ,Giáp Quận 1 vvv... Giá : 4,68ty Bớt Lộc nhẹ",2025-10-23T06:43:37.385Z
31,"69/27A Nơ Trang Long, 11, Bình Thạnh, Hồ Chí Minh","69/27A Nơ Trang Long, Phường 11, Bình Thạnh, Thành phố Hồ Chí Minh",13000000000,sale,other,4.1,18.1,112.5,91.1,2,2,2,certificate,other,"Nhà: 69/27A nơ trang long p 11 Q bình thạnh Dt 4,1m nở hậu 6,65, dt 91,1m² Nở hậu tài lộc 1tr 1 lầu nhà hẻm 2 oto tránh nhau Nhỉnh 13ty tl trực tiếp chủ",2025-10-23T06:26:05.994Z
32,"211/13 Đường Gò Xoài, Bình Hưng Hoà A, Bình Tân, Hồ Chí Minh","211/13 Đường Gò Xoài, Bình Hưng Hoà A, Bình Tân, Thành phố Hồ Chí Minh",7400000000,sale,other,4,15.74,186.3,63.6,4,5,5,certificate,other,"Siêu víp hẻm 211/13 Gò Xoài , P. Bình Hưng Hòa A, Q. Bình Tân ...... gần chợ 100m DT: 4x15.74m. Đúc BTCT 1 trệt 2 lầu+sân thượng, BTCT. 1 P Khách, Bếp, 5PN, P Thờ., 5WC... Đường nhựa xe tải vào... Giá 7.4 tỷ TL",2025-10-23T04:50:39.625Z
33,"119/3 Đường Nguyễn Văn Lượng, 17, Gò Vấp, Hồ Chí Minh","119/3 Đường Nguyễn Văn Lượng, Phường 17, Gò Vấp, Thành phố Hồ Chí Minh",29600000000,sale,other,3.55,35.15,291.27,118.63,3,4,3,certificate,other,"Có thể bán lẻ từng căn: 119/3 Nguyễn Văn Lượng: Giá 13 tỷ, 119/5 Nguyễn Văn Lượng: Giá 16.6 tỷ. 119/3 & 119/5 Nguyễn Văn Lượng,Phường 17 Gò Vấp DT 2 căn: 7.2x48 nở hậu 14 Hiện trạng chia thành 2 căn: Căn 119.3 : kết cấu 3 tầng gồm phòng khách, bếp, sân để xe hơi trước, sân vườn phía sau, Căn 119.5 hiện có dãy phòng trọ 14 phòng. Thu nhập hàng tháng 32tr, Chủ xác định bán đất Pháp lý chuẩn, hoàn công đầy đủ, sổ gửi bank giữ dùm. Giá chào 29.6 tỷ / 2 căn.",2025-10-23T04:14:07.794Z
34,"D1 Cư Xá Phú Lâm A, 12, 6, Hồ Chí Minh","D1 Cư Xá Phú Lâm A, Phường 12, Quận 6, Thành phố Hồ Chí Minh",10200000000,sale,other,18.31,4.2,259.5,74.2,5,7,6,certificate,other,"Bán nhà tại D1 Cư Xá Phú Lâm A, Phường 12, Quận 6, Tp. Hồ Chí Minh - Diện tích: 74.2m² - Công trình xây dựng: trệt + lửng + 2 lầu, sân thượng - Bao gồm: 6 phòng ngủ, 7 nhà vệ sinh - Nhà đất đang cho thuê với thu nhập ổn định 25 triệu/tháng Giá bán: 10.2 tỷ TL",2025-10-23T04:08:52.033Z
35,"190/16 Bùi Thị Xuân, 3, Tân Bình, Hồ Chí Minh","190/16 Bùi Thị Xuân, Phường 3, Tân Bình, Thành phố Hồ Chí Minh",7500000000,sale,alley_house,3.8,13.5,89.38,51,2,1,2,certificate,other,"Bán nhà tại 190/16 Bùi Thị Xuân, P.3, Q.Tân Bình, TP.HCM Diện tích: 51m2 Kết cấu: 1 trệt + gác gỗ, 2 phòng ngủ, 1 vệ sinh Hẻm cụt yên tĩnh, xe ba gác vào được Vị trí thuận tiện, gần chợ và trường học Giá bán: 7,5 tỷ (có thương lượng)",2025-10-23T03:42:47.976Z
36,"176/1C Bùi Tư Toàn An Lạc, Bình Tân, Thành phố Hồ Chí Minh Việt Nam","176/1C Bùi Tư Toàn An Lạc, Bình Tân, Thành phố Hồ Chí Minh Việt Nam",9500000000,sale,other,4,20.26,207.8,106.2,3,4,6,certificate,other,"Bán nhà 176/1C đường Bùi Tư Toàn, Phường An Lạc, Quận Bình Tân, TP.HCM - Kích thước: 4m x 20.26m - Hình dáng đất: Nở hậu 15.53m - Diện tích đất tổng: 106.2m² - Công trình xây dựng: 3 tầng - Diện tích sử dụng: 207.8m² - Bao gồm: 6 phòng ngủ 4 nhà vệ sinh",2025-10-23T02:38:23.356Z
37,"125 Nguyễn Chí Thanh , 16, 11, Hồ Chí Minh","125 Nguyễn Chí Thanh, Phường 16, Quận 11, Thành phố Hồ Chí Minh",37000000000,sale,land,4.15,32.2,119.7,119.7,1,2,2,certificate,other,"Bán nhà 125 đường Nguyễn Chí Thanh ( nối dài), Phường 16, Quận 11, TP.HCM - Kích thước: 4.15m x 32.1m - Hình dáng đất: Nở hậu - Diện tích đất tổng: 119.7m² - Công trình xây dựng: 1 tầng - Diện tích sử dụng: 119.7m² - Bao gồm: 1 phòng ngủ 1 nhà vệ sinh",2025-10-23T02:33:37.660Z
38,"31H đường Tân Hòa Đông, 13, 6, Hồ Chí Minh","31H đường Tân Hòa Đông, Phường 13, Quận 6, Thành phố Hồ Chí Minh",7200000000,sale,shophouse,3.74,10.79,40.9,40.9,2,2,2,certificate,other,"Bán nhà 31H đường Tân Hòa Đông, Phường 13, Quận 6, TPHCM - Kích thước: 3.74m x 10.79m - Hình dáng đất: vuông vức - Diện tích đất tổng: 40.9m² - Diện tích thuộc lộ giới được công nhận: 29.6m² - Công trình xây dựng: trệt + lửng - Diện tích sử dụng: 40.9m² - Bao gồm: 2 phòng ngủ 2 nhà vệ sinh",2025-10-23T02:04:22.125Z
